id_user;computador_pessoal;gosto_jogos;frequencia_jogos;gosto_jogos_aventura;gosto_jogos_luta_acao;gosto_jogos_rpg;gosto_jogos_puzzle;gosto_jogos_esporte;ja_jogou_rpg_eletronico;ja_jogou_rpg_mesa;sexo;ano_nascimento;estado_civil;filhos
5011;1;2;4;3;2;1;2;4;2;4;1;2001;1;2
5012;2;2;1;2;1;2;2;3;2;4;1;2000;1;2
5013;1;1;1;1;1;1;1;1;1;4;1;2001;1;2
5014;1;1;1;1;2;1;1;4;1;2;1;2022;1;2
5015;1;1;1;1;1;1;1;3;1;2;1;1999;1;2
5016;1;5;5;3;5;5;2;5;3;4;2;1998;1;2
5017;1;1;1;1;1;1;1;4;1;1;1;2001;1;2
5018;1;1;4;2;3;4;3;1;4;4;1;2000;1;2
5019;1;1;1;1;1;3;4;1;2;2;1;2001;1;2
5020;1;2;1;2;3;1;3;5;2;2;2;2001;1;2
5021;1;1;1;1;3;1;2;3;1;2;1;2001;1;2
5022;1;1;1;1;2;3;1;5;2;2;2;1998;1;2
5023;2;3;4;3;2;2;2;4;2;4;2;2000;1;2
5024;1;1;3;1;1;1;1;5;2;1;1;2000;1;2
5025;1;4;4;1;1;4;1;2;4;4;2;2001;1;2
5026;1;4;4;2;2;4;2;5;4;4;2;2000;1;2
5027;2;1;4;2;1;2;3;4;2;4;2;2001;1;2
5028;1;4;4;5;5;5;1;5;3;4;1;1994;1;2
5029;1;1;4;2;1;3;2;3;4;4;2;2000;1;2
5030;1;1;2;2;3;1;2;2;1;4;1;2001;1;2
5031;1;4;4;2;2;1;2;5;2;2;2;1999;1;2
5032;1;4;5;3;3;3;3;3;4;4;2;1998;1;2
5033;1;3;4;1;1;4;3;3;3;2;1;2000;1;2
5034;1;1;1;1;2;1;2;5;1;2;1;2000;1;2
5035;1;1;1;4;4;4;2;2;4;5;1;2001;1;2
5036;1;1;1;1;1;1;1;1;1;2;1;2001;1;2
5037;1;4;4;3;2;4;2;2;4;4;2;1998;1;2
5038;2;2;4;1;1;3;2;5;5;5;2;2000;1;2
5039;1;1;1;1;1;1;1;5;1;4;1;2000;1;2
5040;1;1;1;1;1;3;1;2;2;3;1;2001;1;2
5041;2;2;4;2;2;3;2;2;2;5;1;2000;1;2
5043;1;2;1;2;4;5;1;4;5;5;2;2001;1;2
5044;2;1;1;1;1;1;2;2;1;4;1;2001;1;2
5045;1;1;1;1;5;5;1;3;4;4;2;2020;1;2
5046;1;2;1;2;2;3;3;4;2;4;2;2000;1;2
5047;1;2;3;2;2;3;3;2;2;4;1;1999;1;2
5048;1;1;4;2;2;2;1;2;5;4;2;1998;1;2
5049;3;3;4;4;3;5;2;2;4;4;1;2001;1;2
5052;1;2;1;2;2;2;2;5;2;2;1;2002;1;2
5053;2;1;1;1;2;2;3;1;2;3;1;2000;1;2
5053;2;1;1;1;2;2;3;1;2;3;1;2000;1;2
5054;1;5;5;5;5;5;2;5;5;5;1;1979;2;1
5055;1;3;4;2;3;4;2;1;3;3;1;1997;1;1
5057;2;1;1;1;2;2;3;2;1;2;1;2000;1;2
5060;3;3;4;1;1;3;3;3;5;3;1;1995;1;2
5061;2;3;4;4;4;2;2;3;3;4;1;2000;1;2
